state,variable,month,period,contributing_counties,median_across_counties_f,p25_across_counties_f,p75_across_counties_f,monthly_summaries_used,sample,counties_in_both_periods,median_paired_county_difference_f,p25_paired_difference_f,p75_paired_difference_f,month_name,season,variable_label,base_period
LA,Tmax,6,1990-1999,26,89.57,89.001,90.24,257,consistent_county,26,0.194,-0.283,0.8,Jun,warm,Average daily high temperature,1980-1989
LA,Tmax,6,2000-2009,26,89.931,89.616,90.298,257,consistent_county,26,0.407,0.151,0.873,Jun,warm,Average daily high temperature,1980-1989
LA,Tmax,6,2010-2019,26,90.732,90.043,91.187,257,consistent_county,26,1.38,0.71,1.632,Jun,warm,Average daily high temperature,1980-1989
LA,Tmax,6,2020-2025,26,91.244,90.554,91.543,154,consistent_county,26,1.716,1.143,2.269,Jun,warm,Average daily high temperature,1980-1989
LA,Tmax,7,1980-1989,26,92.113,91.247,93.086,260,consistent_county,26,0.0,0.0,0.0,Jul,warm,Average daily high temperature,1980-1989
LA,Tmax,7,1990-1999,26,91.977,91.303,92.745,257,consistent_county,26,-0.155,-0.611,0.459,Jul,warm,Average daily high temperature,1980-1989
LA,Tmax,7,2000-2009,26,92.206,91.062,92.725,259,consistent_county,26,-0.336,-0.527,0.171,Jul,warm,Average daily high temperature,1980-1989
LA,Tmax,7,2010-2019,26,92.211,91.045,93.26,255,consistent_county,26,0.165,-0.41,0.378,Jul,warm,Average daily high temperature,1980-1989
LA,Tmax,7,2020-2025,26,92.536,91.946,93.365,155,consistent_county,26,0.641,-0.241,1.296,Jul,warm,Average daily high temperature,1980-1989
LA,Tmax,8,1980-1989,26,92.092,91.149,93.3,259,consistent_county,26,0.0,0.0,0.0,Aug,warm,Average daily high temperature,1980-1989
LA,Tmax,8,1990-1999,26,92.124,91.446,92.838,257,consistent_county,26,-0.192,-0.667,0.348,Aug,warm,Average daily high temperature,1980-1989
LA,Tmax,8,2000-2009,26,92.672,91.608,93.597,260,consistent_county,26,0.169,0.001,0.902,Aug,warm,Average daily high temperature,1980-1989
LA,Tmax,8,2010-2019,26,92.765,91.44,94.115,255,consistent_county,26,0.584,-0.021,0.934,Aug,warm,Average daily high temperature,1980-1989
LA,Tmax,8,2020-2025,26,93.705,92.954,94.826,153,consistent_county,26,1.613,0.831,2.294,Aug,warm,Average daily high temperature,1980-1989
LA,Tmax,9,1980-1989,26,87.672,87.329,88.139,260,consistent_county,26,0.0,0.0,0.0,Sep,warm,Average daily high temperature,1980-1989
LA,Tmax,9,1990-1999,26,88.237,87.664,88.526,260,consistent_county,26,0.504,0.131,0.806,Sep,warm,Average daily high temperature,1980-1989
LA,Tmax,9,2000-2009,26,87.816,87.558,88.076,256,consistent_county,26,0.158,-0.312,0.54,Sep,warm,Average daily high temperature,1980-1989
LA,Tmax,9,2010-2019,26,89.489,89.004,90.279,256,consistent_county,26,1.861,1.454,2.459,Sep,warm,Average daily high temperature,1980-1989
LA,Tmax,9,2020-2025,26,88.689,88.341,89.244,152,consistent_county,26,0.754,0.469,1.573,Sep,warm,Average daily high temperature,1980-1989
LA,Tmax,10,1980-1989,26,79.078,77.649,79.474,260,consistent_county,26,0.0,0.0,0.0,Oct,shoulder,Average daily high temperature,1980-1989
LA,Tmax,10,1990-1999,26,79.449,78.73,79.747,260,consistent_county,26,0.522,0.088,1.072,Oct,shoulder,Average daily high temperature,1980-1989
LA,Tmax,10,2000-2009,26,79.786,78.267,80.261,258,consistent_county,26,0.738,0.369,1.017,Oct,shoulder,Average daily high temperature,1980-1989
LA,Tmax,10,2010-2019,26,81.063,80.351,81.6,257,consistent_county,26,2.082,1.753,2.808,Oct,shoulder,Average daily high temperature,1980-1989
LA,Tmax,10,2020-2025,26,82.193,81.644,82.546,154,consistent_county,26,3.289,2.478,4.11,Oct,shoulder,Average daily high temperature,1980-1989
LA,Tmax,11,1980-1989,26,70.646,67.956,71.751,260,consistent_county,26,0.0,0.0,0.0,Nov,cool,Average daily high temperature,1980-1989
LA,Tmax,11,1990-1999,26,68.746,66.898,70.217,258,consistent_county,26,-1.615,-1.889,-1.221,Nov,cool,Average daily high temperature,1980-1989
LA,Tmax,11,2000-2009,26,70.939,68.599,71.798,257,consistent_county,26,0.124,-0.389,0.524,Nov,cool,Average daily high temperature,1980-1989
LA,Tmax,11,2010-2019,26,69.634,68.128,70.83,252,consistent_county,26,-0.91,-1.239,-0.206,Nov,cool,Average daily high temperature,1980-1989
LA,Tmax,11,2020-2025,26,72.026,70.844,72.955,155,consistent_county,26,1.276,0.795,2.238,Nov,cool,Average daily high temperature,1980-1989
LA,Tmax,12,1980-1989,26,61.002,57.641,63.048,260,consistent_county,26,0.0,0.0,0.0,Dec,cool,Average daily high temperature,1980-1989
LA,Tmax,12,1990-1999,26,62.462,59.617,64.427,260,consistent_county,26,1.544,1.11,1.823,Dec,cool,Average daily high temperature,1980-1989
LA,Tmax,12,2000-2009,26,61.389,58.797,63.232,254,consistent_county,26,0.42,-0.096,1.032,Dec,cool,Average daily high temperature,1980-1989
LA,Tmax,12,2010-2019,26,62.77,60.805,65.261,254,consistent_county,26,2.1,1.434,2.933,Dec,cool,Average daily high temperature,1980-1989
LA,Tmax,12,2020-2025,26,66.11,64.359,66.96,153,consistent_county,26,5.129,3.832,5.713,Dec,cool,Average daily high temperature,1980-1989
LA,Tmin,1,1980-1989,26,36.647,33.124,38.75,259,consistent_county,26,0.0,0.0,0.0,Jan,cool,Average daily low temperature,1980-1989
LA,Tmin,1,1990-1999,26,40.734,36.95,43.191,260,consistent_county,26,3.781,3.256,4.338,Jan,cool,Average daily low temperature,1980-1989
LA,Tmin,1,2000-2009,26,40.144,37.14,41.821,257,consistent_county,26,3.076,2.666,3.725,Jan,cool,Average daily low temperature,1980-1989
LA,Tmin,1,2010-2019,26,38.269,35.823,40.439,257,consistent_county,26,1.837,1.127,2.947,Jan,cool,Average daily low temperature,1980-1989
LA,Tmin,1,2020-2025,26,39.869,37.533,41.971,151,consistent_county,26,3.257,2.623,4.55,Jan,cool,Average daily low temperature,1980-1989
LA,Tmin,2,1980-1989,26,40.814,37.812,42.609,259,consistent_county,26,0.0,0.0,0.0,Feb,cool,Average daily low temperature,1980-1989
LA,Tmin,2,1990-1999,26,44.124,40.252,46.123,260,consistent_county,26,2.994,2.423,3.381,Feb,cool,Average daily low temperature,1980-1989
LA,Tmin,2,2000-2009,26,42.404,39.321,44.538,256,consistent_county,26,1.562,0.859,2.214,Feb,cool,Average daily low temperature,1980-1989
LA,Tmin,2,2010-2019,26,43.832,41.114,46.286,255,consistent_county,26,3.498,2.758,4.268,Feb,cool,Average daily low temperature,1980-1989
LA,Tmin,2,2020-2025,26,44.286,41.437,46.182,150,consistent_county,26,3.387,2.398,4.323,Feb,cool,Average daily low temperature,1980-1989
LA,Tmin,3,1980-1989,26,47.676,45.164,49.214,260,consistent_county,26,0.0,0.0,0.0,Mar,cool,Average daily low temperature,1980-1989
LA,Tmin,3,1990-1999,26,49.069,45.774,50.585,260,consistent_county,26,1.017,0.791,1.285,Mar,cool,Average daily low temperature,1980-1989
LA,Tmin,3,2000-2009,26,49.617,47.117,51.086,257,consistent_county,26,2.057,1.329,2.335,Mar,cool,Average daily low temperature,1980-1989
LA,Tmin,3,2010-2019,26,49.405,47.432,51.846,255,consistent_county,26,2.303,1.45,3.267,Mar,cool,Average daily low temperature,1980-1989
LA,Tmin,3,2020-2025,26,52.253,50.449,54.256,154,consistent_county,26,5.069,3.815,5.969,Mar,cool,Average daily low temperature,1980-1989
LA,Tmin,4,1980-1989,26,54.651,52.26,55.971,259,consistent_county,26,0.0,0.0,0.0,Apr,cool,Average daily low temperature,1980-1989
LA,Tmin,4,1990-1999,26,55.413,52.624,57.243,258,consistent_county,26,0.571,0.265,1.099,Apr,cool,Average daily low temperature,1980-1989
LA,Tmin,4,2000-2009,26,56.008,54.146,57.69,255,consistent_county,26,1.989,1.067,2.255,Apr,cool,Average daily low temperature,1980-1989
LA,Tmin,4,2010-2019,26,56.493,55.378,58.443,255,consistent_county,26,2.57,1.731,3.488,Apr,cool,Average daily low temperature,1980-1989
LA,Tmin,4,2020-2025,26,57.252,55.853,59.146,154,consistent_county,26,3.296,2.377,4.434,Apr,cool,Average daily low temperature,1980-1989
LA,Tmin,5,1980-1989,26,63.076,61.082,64.666,260,consistent_county,26,0.0,0.0,0.0,May,shoulder,Average daily low temperature,1980-1989
LA,Tmin,5,1990-1999,26,64.179,62.263,65.822,259,consistent_county,26,1.098,0.804,1.537,May,shoulder,Average daily low temperature,1980-1989
LA,Tmin,5,2000-2009,26,64.29,62.961,65.756,257,consistent_county,26,1.511,1.003,1.807,May,shoulder,Average daily low temperature,1980-1989
LA,Tmin,5,2010-2019,26,64.55,63.337,65.845,255,consistent_county,26,1.804,1.274,2.302,May,shoulder,Average daily low temperature,1980-1989
LA,Tmin,5,2020-2025,26,66.198,64.55,67.386,154,consistent_county,26,3.325,2.471,3.984,May,shoulder,Average daily low temperature,1980-1989
LA,Tmin,6,1980-1989,26,69.605,68.229,70.999,260,consistent_county,26,0.0,0.0,0.0,Jun,warm,Average daily low temperature,1980-1989
LA,Tmin,6,1990-1999,26,70.467,69.346,71.808,257,consistent_county,26,0.943,0.657,1.485,Jun,warm,Average daily low temperature,1980-1989
LA,Tmin,6,2000-2009,26,70.11,68.941,71.361,257,consistent_county,26,0.705,0.354,1.353,Jun,warm,Average daily low temperature,1980-1989
LA,Tmin,6,2010-2019,26,72.035,71.186,73.008,257,consistent_county,26,2.449,2.169,3.253,Jun,warm,Average daily low temperature,1980-1989
LA,Tmin,6,2020-2025,26,72.714,71.059,73.346,154,consistent_county,26,2.898,2.172,3.584,Jun,warm,Average daily low temperature,1980-1989
LA,Tmin,7,1980-1989,26,72.418,71.021,72.868,260,consistent_county,26,0.0,0.0,0.0,Jul,warm,Average daily low temperature,1980-1989
LA,Tmin,7,1990-1999,26,72.988,72.292,73.396,257,consistent_county,26,0.654,0.448,1.253,Jul,warm,Average daily low temperature,1980-1989
LA,Tmin,7,2000-2009,26,72.72,71.789,73.609,259,consistent_county,26,0.567,0.159,1.038,Jul,warm,Average daily low temperature,1980-1989
LA,Tmin,7,2010-2019,26,73.544,72.768,74.291,254,consistent_county,26,1.416,1.127,2.317,Jul,warm,Average daily low temperature,1980-1989
LA,Tmin,7,2020-2025,26,74.815,73.954,75.552,155,consistent_county,26,2.637,2.142,3.313,Jul,warm,Average daily low temperature,1980-1989
LA,Tmin,8,1980-1989,26,71.841,70.574,72.742,259,consistent_county,26,0.0,0.0,0.0,Aug,warm,Average daily low temperature,1980-1989
LA,Tmin,8,1990-1999,26,71.773,70.403,72.614,256,consistent_county,26,-0.087,-0.46,0.194,Aug,warm,Average daily low temperature,1980-1989
LA,Tmin,8,2000-2009,26,72.34,71.438,73.224,260,consistent_county,26,0.593,0.306,0.981,Aug,warm,Average daily low temperature,1980-1989
LA,Tmin,8,2010-2019,26,73.513,73.0,74.277,255,consistent_county,26,1.777,1.427,2.497,Aug,warm,Average daily low temperature,1980-1989
LA,Tmin,8,2020-2025,26,74.172,73.002,74.923,152,consistent_county,26,2.281,1.556,2.882,Aug,warm,Average daily low temperature,1980-1989
LA,Tmin,9,1980-1989,26,65.789,63.844,67.804,260,consistent_county,26,0.0,0.0,0.0,Sep,warm,Average daily low temperature,1980-1989
LA,Tmin,9,1990-1999,26,66.5,64.256,68.258,260,consistent_county,26,0.603,0.27,0.827,Sep,warm,Average daily low temperature,1980-1989
LA,Tmin,9,2000-2009,26,67.247,65.675,69.061,256,consistent_county,26,1.607,1.21,2.211,Sep,warm,Average daily low temperature,1980-1989
LA,Tmin,9,2010-2019,26,68.637,67.702,70.175,256,consistent_county,26,2.867,2.415,3.368,Sep,warm,Average daily low temperature,1980-1989
LA,Tmin,9,2020-2025,26,68.49,67.069,69.803,152,consistent_county,26,2.439,1.541,3.266,Sep,warm,Average daily low temperature,1980-1989
LA,Tmin,10,1980-1989,26,55.311,52.415,57.671,260,consistent_county,26,0.0,0.0,0.0,Oct,shoulder,Average daily low temperature,1980-1989
LA,Tmin,10,1990-1999,26,55.759,52.804,58.027,260,consistent_county,26,0.497,0.148,0.817,Oct,shoulder,Average daily low temperature,1980-1989
LA,Tmin,10,2000-2009,26,57.021,54.887,59.205,257,consistent_county,26,1.708,1.061,2.681,Oct,shoulder,Average daily low temperature,1980-1989
LA,Tmin,10,2010-2019,26,57.56,55.374,58.913,257,consistent_county,26,1.564,1.125,2.903,Oct,shoulder,Average daily low temperature,1980-1989
LA,Tmin,10,2020-2025,26,58.415,55.799,59.744,154,consistent_county,26,2.668,1.475,4.093,Oct,shoulder,Average daily low temperature,1980-1989
LA,Tmin,11,1980-1989,26,48.665,45.146,50.667,260,consistent_county,26,0.0,0.0,0.0,Nov,cool,Average daily low temperature,1980-1989
LA,Tmin,11,1990-1999,26,46.624,43.209,48.695,258,consistent_county,26,-2.059,-2.608,-1.44,Nov,cool,Average daily low temperature,1980-1989
LA,Tmin,11,2000-2009,26,47.519,45.622,49.558,257,consistent_county,26,-0.906,-1.408,-0.238,Nov,cool,Average daily low temperature,1980-1989
LA,Tmin,11,2010-2019,26,46.603,44.912,48.872,252,consistent_county,26,-1.582,-2.8,-0.584,Nov,cool,Average daily low temperature,1980-1989
LA,Tmin,11,2020-2025,26,49.712,47.123,51.128,155,consistent_county,26,1.091,-0.023,2.551,Nov,cool,Average daily low temperature,1980-1989
LA,Tmin,12,1980-1989,26,39.752,36.395,42.391,260,consistent_county,26,0.0,0.0,0.0,Dec,cool,Average daily low temperature,1980-1989
LA,Tmin,12,1990-1999,26,42.534,38.652,44.634,260,consistent_county,26,2.424,2.095,2.817,Dec,cool,Average daily low temperature,1980-1989
LA,Tmin,12,2000-2009,26,40.257,37.066,42.087,254,consistent_county,26,-0.055,-0.526,0.56,Dec,cool,Average daily low temperature,1980-1989
LA,Tmin,12,2010-2019,26,42.39,40.218,45.162,254,consistent_county,26,3.111,2.653,3.783,Dec,cool,Average daily low temperature,1980-1989
LA,Tmin,12,2020-2025,26,45.193,42.858,46.587,153,consistent_county,26,5.164,4.446,6.287,Dec,cool,Average daily low temperature,1980-1989
MS,Tavg,1,1980-1989,18,43.424,39.836,46.32,173,consistent_county,18,0.0,0.0,0.0,Jan,cool,Average daily temperature,1980-1989
MS,Tavg,1,1990-1999,18,46.743,43.082,49.412,175,consistent_county,18,3.252,2.562,3.46,Jan,cool,Average daily temperature,1980-1989
MS,Tavg,1,2000-2009,18,46.146,42.792,49.009,176,consistent_county,18,2.865,2.353,3.129,Jan,cool,Average daily temperature,1980-1989
MS,Tavg,1,2010-2019,18,45.037,42.056,48.025,180,consistent_county,18,1.838,1.363,2.259,Jan,cool,Average daily temperature,1980-1989
MS,Tavg,1,2020-2025,18,46.767,43.565,49.251,108,consistent_county,18,3.147,2.548,3.777,Jan,cool,Average daily temperature,1980-1989
MS,Tavg,2,1980-1989,18,47.746,44.551,50.073,173,consistent_county,18,0.0,0.0,0.0,Feb,cool,Average daily temperature,1980-1989
MS,Tavg,2,1990-1999,18,50.838,47.583,52.92,174,consistent_county,18,2.911,2.683,3.23,Feb,cool,Average daily temperature,1980-1989
MS,Tavg,2,2000-2009,18,49.457,45.665,52.045,179,consistent_county,18,1.459,1.131,2.013,Feb,cool,Average daily temperature,1980-1989
MS,Tavg,2,2010-2019,18,50.328,46.699,53.594,180,consistent_county,18,2.813,2.164,3.4,Feb,cool,Average daily temperature,1980-1989
MS,Tavg,2,2020-2025,18,51.867,48.238,54.26,107,consistent_county,18,4.044,3.176,4.477,Feb,cool,Average daily temperature,1980-1989
MS,Tavg,3,1980-1989,18,56.059,53.819,58.04,177,consistent_county,18,0.0,0.0,0.0,Mar,cool,Average daily temperature,1980-1989
MS,Tavg,3,1990-1999,18,56.443,53.519,58.232,179,consistent_county,18,0.197,-0.209,0.626,Mar,cool,Average daily temperature,1980-1989
MS,Tavg,3,2000-2009,18,57.666,54.812,59.699,178,consistent_county,18,1.328,0.774,1.797,Mar,cool,Average daily temperature,1980-1989
MS,Tavg,3,2010-2019,18,57.028,54.472,59.606,180,consistent_county,18,1.158,0.944,1.874,Mar,cool,Average daily temperature,1980-1989
MS,Tavg,3,2020-2025,18,60.6,58.039,62.286,108,consistent_county,18,4.407,4.068,4.93,Mar,cool,Average daily temperature,1980-1989
MS,Tavg,4,1980-1989,18,63.389,61.723,64.687,179,consistent_county,18,0.0,0.0,0.0,Apr,cool,Average daily temperature,1980-1989
MS,Tavg,4,1990-1999,18,63.866,61.937,64.641,170,consistent_county,18,0.246,-0.218,1.053,Apr,cool,Average daily temperature,1980-1989
MS,Tavg,4,2000-2009,18,64.69,62.553,65.783,178,consistent_county,18,1.317,0.829,1.914,Apr,cool,Average daily temperature,1980-1989
MS,Tavg,4,2010-2019,18,64.995,63.276,66.394,180,consistent_county,18,1.812,1.329,2.554,Apr,cool,Average daily temperature,1980-1989
MS,Tavg,4,2020-2025,18,65.242,63.144,66.473,107,consistent_county,18,1.969,1.59,2.497,Apr,cool,Average daily temperature,1980-1989
MS,Tavg,5,1980-1989,18,71.692,69.999,72.141,178,consistent_county,18,0.0,0.0,0.0,May,shoulder,Average daily temperature,1980-1989
MS,Tavg,5,1990-1999,18,72.181,70.405,72.653,179,consistent_county,18,0.679,0.317,0.835,May,shoulder,Average daily temperature,1980-1989
MS,Tavg,5,2000-2009,18,72.967,70.888,73.578,180,consistent_county,18,1.098,0.818,1.293,May,shoulder,Average daily temperature,1980-1989
MS,Tavg,5,2010-2019,18,73.102,71.433,73.647,179,consistent_county,18,1.282,1.071,1.866,May,shoulder,Average daily temperature,1980-1989
MS,Tavg,5,2020-2025,18,73.493,71.682,74.376,108,consistent_county,18,1.799,1.586,2.101,May,shoulder,Average daily temperature,1980-1989
MS,Tavg,6,1980-1989,18,78.293,77.605,79.06,179,consistent_county,18,0.0,0.0,0.0,Jun,warm,Average daily temperature,1980-1989
MS,Tavg,6,1990-1999,18,78.643,77.701,79.002,178,consistent_county,18,0.216,0.006,0.461,Jun,warm,Average daily temperature,1980-1989
MS,Tavg,6,2000-2009,18,79.129,77.564,79.574,180,consistent_county,18,0.338,-0.038,0.676,Jun,warm,Average daily temperature,1980-1989
MS,Tavg,6,2010-2019,18,80.237,78.995,80.521,179,consistent_county,18,1.588,0.955,2.055,Jun,warm,Average daily temperature,1980-1989
MS,Tavg,6,2020-2025,18,80.04,78.954,80.865,108,consistent_county,18,1.696,1.22,2.054,Jun,warm,Average daily temperature,1980-1989
MS,Tavg,7,1980-1989,18,81.418,80.51,81.806,180,consistent_county,18,0.0,0.0,0.0,Jul,warm,Average daily temperature,1980-1989
MS,Tavg,7,1990-1999,18,81.466,80.777,81.869,176,consistent_county,18,0.307,-0.071,0.502,Jul,warm,Average daily temperature,1980-1989
MS,Tavg,7,2000-2009,18,81.296,80.55,81.667,179,consistent_county,18,-0.095,-0.582,0.09,Jul,warm,Average daily temperature,1980-1989
MS,Tavg,7,2010-2019,18,81.77,81.352,82.111,179,consistent_county,18,0.331,-0.016,0.7,Jul,warm,Average daily temperature,1980-1989
MS,Tavg,7,2020-2025,18,82.623,81.872,83.286,108,consistent_county,18,1.439,1.096,1.633,Jul,warm,Average daily temperature,1980-1989
MS,Tavg,8,1980-1989,18,80.789,80.052,81.342,180,consistent_county,18,0.0,0.0,0.0,Aug,warm,Average daily temperature,1980-1989
MS,Tavg,8,1990-1999,18,80.69,79.811,81.222,178,consistent_county,18,-0.13,-0.743,0.116,Aug,warm,Average daily temperature,1980-1989
MS,Tavg,8,2000-2009,18,81.22,80.901,81.656,180,consistent_county,18,0.539,0.203,0.823,Aug,warm,Average daily temperature,1980-1989
MS,Tavg,8,2010-2019,18,81.664,80.683,81.94,180,consistent_county,18,0.521,0.315,0.883,Aug,warm,Average daily temperature,1980-1989
MS,Tavg,8,2020-2025,18,81.914,80.713,83.074,108,consistent_county,18,1.139,0.442,1.842,Aug,warm,Average daily temperature,1980-1989
MS,Tavg,9,1980-1989,18,75.046,73.819,75.781,178,consistent_county,18,0.0,0.0,0.0,Sep,warm,Average daily temperature,1980-1989
MS,Tavg,9,1990-1999,18,75.713,74.093,76.525,178,consistent_county,18,0.478,0.3,0.634,Sep,warm,Average daily temperature,1980-1989
MS,Tavg,9,2000-2009,18,76.067,74.479,77.22,179,consistent_county,18,1.036,0.533,1.227,Sep,warm,Average daily temperature,1980-1989
MS,Tavg,9,2010-2019,18,77.446,75.955,78.349,180,consistent_county,18,2.225,2.035,2.76,Sep,warm,Average daily temperature,1980-1989
MS,Tavg,9,2020-2025,18,76.61,75.294,77.584,108,consistent_county,18,1.868,1.151,2.083,Sep,warm,Average daily temperature,1980-1989
MS,Tavg,10,1980-1989,18,64.314,62.764,65.894,179,consistent_county,18,0.0,0.0,0.0,Oct,shoulder,Average daily temperature,1980-1989
MS,Tavg,10,1990-1999,18,64.955,62.739,66.48,176,consistent_county,18,0.655,0.431,0.873,Oct,shoulder,Average daily temperature,1980-1989
MS,Tavg,10,2000-2009,18,65.474,63.37,67.395,180,consistent_county,18,1.289,0.815,1.515,Oct,shoulder,Average daily temperature,1980-1989
MS,Tavg,10,2010-2019,18,66.133,64.616,68.161,179,consistent_county,18,2.108,1.534,2.409,Oct,shoulder,Average daily temperature,1980-1989
MS,Tavg,10,2020-2025,18,67.232,65.57,68.647,108,consistent_county,18,3.011,2.467,3.379,Oct,shoulder,Average daily temperature,1980-1989
MS,Tavg,11,1980-1989,18,56.209,53.64,58.524,179,consistent_county,18,0.0,0.0,0.0,Nov,cool,Average daily temperature,1980-1989
MS,Tavg,11,1990-1999,18,54.426,51.984,56.118,170,consistent_county,18,-1.878,-2.236,-1.588,Nov,cool,Average daily temperature,1980-1989
MS,Tavg,11,2000-2009,18,55.431,53.364,57.592,179,consistent_county,18,-0.812,-1.308,0.165,Nov,cool,Average daily temperature,1980-1989
MS,Tavg,11,2010-2019,18,54.091,52.313,56.644,180,consistent_county,18,-1.955,-2.339,-1.211,Nov,cool,Average daily temperature,1980-1989
MS,Tavg,11,2020-2025,18,57.119,55.248,59.155,108,consistent_county,18,1.45,0.419,1.571,Nov,cool,Average daily temperature,1980-1989
MS,Tavg,12,1980-1989,18,46.838,43.337,49.544,177,consistent_county,18,0.0,0.0,0.0,Dec,cool,Average daily temperature,1980-1989
MS,Tavg,12,1990-1999,18,49.044,45.645,51.504,171,consistent_county,18,1.912,1.452,2.815,Dec,cool,Average daily temperature,1980-1989
MS,Tavg,12,2000-2009,18,46.943,43.745,49.739,178,consistent_county,18,0.282,-0.225,0.689,Dec,cool,Average daily temperature,1980-1989
MS,Tavg,12,2010-2019,18,49.652,46.65,52.687,180,consistent_county,18,3.19,2.379,3.452,Dec,cool,Average daily temperature,1980-1989
MS,Tavg,12,2020-2025,18,51.712,48.679,53.8,107,consistent_county,18,4.6,3.79,5.426,Dec,cool,Average daily temperature,1980-1989
MS,Tmax,1,1980-1989,25,56.098,50.839,58.396,246,consistent_county,25,0.0,0.0,0.0,Jan,cool,Average daily high temperature,1980-1989
MS,Tmax,1,1990-1999,25,57.867,52.153,60.496,245,consistent_county,25,1.806,1.336,2.568,Jan,cool,Average daily high temperature,1980-1989
MS,Tmax,1,2000-2009,25,57.97,53.258,60.498,246,consistent_county,25,2.625,1.381,3.078,Jan,cool,Average daily high temperature,1980-1989
MS,Tmax,1,2010-2019,25,57.254,52.607,59.515,248,consistent_county,25,1.493,0.823,2.327,Jan,cool,Average daily high temperature,1980-1989
MS,Tmax,1,2020-2025,25,58.006,53.88,60.598,149,consistent_county,25,2.874,1.742,3.301,Jan,cool,Average daily high temperature,1980-1989
MS,Tmax,2,1980-1989,25,60.511,54.822,61.701,247,consistent_county,25,0.0,0.0,0.0,Feb,cool,Average daily high temperature,1980-1989
MS,Tmax,2,1990-1999,25,63.447,58.191,64.731,247,consistent_county,25,3.039,2.399,3.856,Feb,cool,Average daily high temperature,1980-1989
MS,Tmax,2,2000-2009,25,61.934,56.575,64.043,248,consistent_county,25,1.929,1.114,2.79,Feb,cool,Average daily high temperature,1980-1989
MS,Tmax,2,2010-2019,25,62.481,57.174,64.523,248,consistent_county,25,2.854,1.56,3.367,Feb,cool,Average daily high temperature,1980-1989
MS,Tmax,2,2020-2025,25,63.612,59.358,65.885,148,consistent_county,25,4.616,3.825,4.914,Feb,cool,Average daily high temperature,1980-1989
MS,Tmax,3,1980-1989,25,68.367,65.148,70.473,247,consistent_county,25,0.0,0.0,0.0,Mar,cool,Average daily high temperature,1980-1989
MS,Tmax,3,1990-1999,25,68.531,64.383,69.838,248,consistent_county,25,-0.55,-0.855,0.475,Mar,cool,Average daily high temperature,1980-1989
MS,Tmax,3,2000-2009,25,70.385,66.533,71.496,248,consistent_county,25,1.454,0.43,2.197,Mar,cool,Average daily high temperature,1980-1989
MS,Tmax,3,2010-2019,25,70.021,65.995,70.827,247,consistent_county,25,0.92,0.083,2.148,Mar,cool,Average daily high temperature,1980-1989
MS,Tmax,3,2020-2025,25,73.038,70.329,73.838,149,consistent_county,25,3.936,3.487,5.049,Mar,cool,Average daily high temperature,1980-1989
MS,Tmax,4,1980-1989,25,75.535,73.901,77.125,247,consistent_county,25,0.0,0.0,0.0,Apr,cool,Average daily high temperature,1980-1989
MS,Tmax,4,1990-1999,25,75.404,73.251,76.45,243,consistent_county,25,-0.646,-1.023,0.215,Apr,cool,Average daily high temperature,1980-1989
MS,Tmax,4,2000-2009,25,77.127,74.641,77.877,249,consistent_county,25,1.115,0.297,1.877,Apr,cool,Average daily high temperature,1980-1989
MS,Tmax,4,2010-2019,25,76.882,75.468,77.663,247,consistent_county,25,0.78,0.553,2.255,Apr,cool,Average daily high temperature,1980-1989
MS,Tmax,4,2020-2025,25,76.713,75.066,77.811,149,consistent_county,25,1.178,0.209,1.908,Apr,cool,Average daily high temperature,1980-1989
MS,Tmax,5,1980-1989,25,82.896,81.633,83.805,247,consistent_county,25,0.0,0.0,0.0,May,shoulder,Average daily high temperature,1980-1989
MS,Tmax,5,1990-1999,25,82.905,81.699,83.723,248,consistent_county,25,-0.08,-0.579,0.625,May,shoulder,Average daily high temperature,1980-1989
MS,Tmax,5,2000-2009,25,83.878,82.582,84.655,250,consistent_county,25,0.905,0.368,1.398,May,shoulder,Average daily high temperature,1980-1989
MS,Tmax,5,2010-2019,25,84.198,83.179,84.568,247,consistent_county,25,0.817,0.497,1.894,May,shoulder,Average daily high temperature,1980-1989
MS,Tmax,5,2020-2025,25,83.979,82.488,84.608,148,consistent_county,25,0.99,0.3,1.557,May,shoulder,Average daily high temperature,1980-1989
MS,Tmax,6,1980-1989,25,89.392,88.909,89.541,249,consistent_county,25,0.0,0.0,0.0,Jun,warm,Average daily high temperature,1980-1989
MS,Tmax,6,1990-1999,25,88.741,87.809,89.574,246,consistent_county,25,-0.556,-1.293,-0.081,Jun,warm,Average daily high temperature,1980-1989
MS,Tmax,6,2000-2009,25,89.605,88.999,90.034,250,consistent_county,25,0.434,-0.309,0.901,Jun,warm,Average daily high temperature,1980-1989
MS,Tmax,6,2010-2019,25,90.205,89.412,90.8,245,consistent_county,25,0.721,0.494,1.47,Jun,warm,Average daily high temperature,1980-1989
MS,Tmax,6,2020-2025,25,90.454,89.632,91.056,148,consistent_county,25,0.97,0.303,1.635,Jun,warm,Average daily high temperature,1980-1989
MS,Tmax,7,1980-1989,25,91.815,91.574,92.174,248,consistent_county,25,0.0,0.0,0.0,Jul,warm,Average daily high temperature,1980-1989
MS,Tmax,7,1990-1999,25,91.622,90.83,92.202,246,consistent_county,25,-0.401,-1.087,0.309,Jul,warm,Average daily high temperature,1980-1989
MS,Tmax,7,2000-2009,25,91.561,91.187,92.164,249,consistent_county,25,-0.074,-0.711,0.246,Jul,warm,Average daily high temperature,1980-1989
