definition_A,definition_B,n_A_eligible_dates,n_B_eligible_dates,n_common_eligible_dates,eligibility_jaccard,fraction_A_eligible_also_eligible_B,fraction_B_eligible_also_eligible_A,n_classified_by_A,n_classified_by_B,n_classified_by_both,n_classified_by_either,n_A_only_positive,n_B_only_positive,jaccard_common_eligibility
HIPROXY_P95_D2_W15_CONFEXCL,HIXENV_P95_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,48778,31288,25108,54958,23670,6180,0.456858
HIPROXY_P95_D2_W15_CONFEXCL,HIXENV_P975_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,48778,13898,12633,50043,36145,1265,0.252443
HIXENV_P80_D2_W15_RAW,HIXENV_P85_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,169006,117437,117437,169006,51569,0,0.694869
HIXENV_P80_D2_W15_RAW,HIXENV_P90_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,169006,70965,70965,169006,98041,0,0.419896
HIXENV_P80_D2_W15_RAW,HIXENV_P95_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,169006,31294,31294,169006,137712,0,0.185165
HIXENV_P80_D2_W15_RAW,HIXENV_P975_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,169006,13903,13903,169006,155103,0,0.082263
HIXENV_P80_D2_W15_RAW,HIXENV_P80_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,169003,169000,169000,169003,3,0,0.999982
HIXENV_P80_D2_W15_RAW,HIXENV_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,169003,117431,117431,169003,51572,0,0.694846
HIXENV_P80_D2_W15_RAW,HIXENV_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,169003,70959,70959,169003,98044,0,0.419868
HIXENV_P80_D2_W15_RAW,HIXENV_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,169003,31288,31288,169003,137715,0,0.185133
HIXENV_P80_D2_W15_RAW,HIXENV_P975_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,169003,13898,13898,169003,155105,0,0.082235
HIXENV_P85_D2_W15_RAW,HIXENV_P90_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,117437,70965,70965,117437,46472,0,0.604281
HIXENV_P85_D2_W15_RAW,HIXENV_P95_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,117437,31294,31294,117437,86143,0,0.266475
HIXENV_P85_D2_W15_RAW,HIXENV_P975_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,117437,13903,13903,117437,103534,0,0.118387
HIXENV_P85_D2_W15_RAW,HIXENV_P80_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,117434,169000,117431,169003,3,51569,0.694846
HIXENV_P85_D2_W15_RAW,HIXENV_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,117434,117431,117431,117434,3,0,0.999974
HIXENV_P85_D2_W15_RAW,HIXENV_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,117434,70959,70959,117434,46475,0,0.604246
HIXENV_P85_D2_W15_RAW,HIXENV_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,117434,31288,31288,117434,86146,0,0.266431
HIXENV_P85_D2_W15_RAW,HIXENV_P975_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,117434,13898,13898,117434,103536,0,0.118347
HIXENV_P90_D2_W15_RAW,HIXENV_P95_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,70965,31294,31294,70965,39671,0,0.440978
HIXENV_P90_D2_W15_RAW,HIXENV_P975_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,70965,13903,13903,70965,57062,0,0.195913
HIXENV_P90_D2_W15_RAW,HIXENV_P80_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,70962,169000,70960,169002,2,98040,0.419877
HIXENV_P90_D2_W15_RAW,HIXENV_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,70962,117431,70960,117433,2,46471,0.604259
HIXENV_P90_D2_W15_RAW,HIXENV_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,70962,70959,70959,70962,3,0,0.999958
HIXENV_P90_D2_W15_RAW,HIXENV_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,70962,31288,31288,70962,39674,0,0.440912
HIXENV_P90_D2_W15_RAW,HIXENV_P975_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,70962,13898,13898,70962,57064,0,0.195851
HIXENV_P95_D2_W15_RAW,HIXENV_P975_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,31294,13903,13903,31294,17391,0,0.44427
HIXENV_P95_D2_W15_RAW,HIXENV_P80_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,31291,169000,31290,169001,1,137710,0.185147
HIXENV_P95_D2_W15_RAW,HIXENV_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,31291,117431,31290,117432,1,86141,0.266452
HIXENV_P95_D2_W15_RAW,HIXENV_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,31291,70959,31289,70961,2,39670,0.440932
HIXENV_P95_D2_W15_RAW,HIXENV_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,31291,31288,31288,31291,3,0,0.999904
HIXENV_P95_D2_W15_RAW,HIXENV_P975_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,31291,13898,13898,31291,17393,0,0.444153
HIXENV_P975_D2_W15_RAW,HIXENV_P80_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,13901,169000,13900,169001,1,155100,0.082248
HIXENV_P975_D2_W15_RAW,HIXENV_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,13901,117431,13900,117432,1,103531,0.118366
HIXENV_P975_D2_W15_RAW,HIXENV_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,13901,70959,13900,70960,1,57059,0.195885
HIXENV_P975_D2_W15_RAW,HIXENV_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,13901,31288,13899,31290,2,17389,0.444199
HIXENV_P975_D2_W15_RAW,HIXENV_P975_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,13901,13898,13898,13901,3,0,0.999784
HIXENV_P80_D2_W15_CONFEXCL,HIXENV_P85_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,169000,117431,117431,169000,51569,0,0.694858
HIXENV_P80_D2_W15_CONFEXCL,HIXENV_P90_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,169000,70959,70959,169000,98041,0,0.419876
HIXENV_P80_D2_W15_CONFEXCL,HIXENV_P95_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,169000,31288,31288,169000,137712,0,0.185136
HIXENV_P80_D2_W15_CONFEXCL,HIXENV_P975_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,169000,13898,13898,169000,155102,0,0.082237
HIXENV_P85_D2_W15_CONFEXCL,HIXENV_P90_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,117431,70959,70959,117431,46472,0,0.604261
HIXENV_P85_D2_W15_CONFEXCL,HIXENV_P95_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,117431,31288,31288,117431,86143,0,0.266437
HIXENV_P85_D2_W15_CONFEXCL,HIXENV_P975_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,117431,13898,13898,117431,103533,0,0.11835
HIXENV_P90_D2_W15_CONFEXCL,HIXENV_P95_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,70959,31288,31288,70959,39671,0,0.440931
HIXENV_P90_D2_W15_CONFEXCL,HIXENV_P975_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,70959,13898,13898,70959,57061,0,0.19586
HIXENV_P95_D2_W15_CONFEXCL,HIXENV_P975_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,31288,13898,13898,31288,17390,0,0.444196
