construct_id,construct_family,reader_facing_name,legacy_definition_id,legacy_window,metric,metric_reader_label,percentile,minimum_duration_days,absolute_gate_f,threshold_window,threshold_window_label,baseline,relative_comparison_operator,absolute_gate_operator,season_rule,formula,day_label,event_label,state,analysis_years,input_table,HWN,HWF,HWD,is_a_heatwave,naming_note,gate_note
HYB_TX_P80_D3_A80_W15,hybrid,"County-specific 80th-percentile Tmax event with a 80 degF absolute gate, minimum duration three days",TMAX_P80_3D_F80,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,80.0,3,80.0,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,>=,year round,"(daily high > county- and calendar-date-specific historical 80th percentile) AND (daily high >= 80 degF), for at least 3 consecutive days",hybrid heat-event day,hybrid relative-and-absolute heat event,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),part - relative anomaly AND an absolute daily-high gate,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
HYB_TX_P80_D5_A80_W15,hybrid,"County-specific 80th-percentile Tmax event with a 80 degF absolute gate, minimum duration five days",TMAX_P80_5D_F80,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,80.0,5,80.0,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,>=,year round,"(daily high > county- and calendar-date-specific historical 80th percentile) AND (daily high >= 80 degF), for at least 5 consecutive days",hybrid heat-event day,hybrid relative-and-absolute heat event,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),part - relative anomaly AND an absolute daily-high gate,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
HYB_TX_P85_D2_A80_W15,hybrid,"County-specific 85th-percentile Tmax event with a 80 degF absolute gate, minimum duration two days",TMAX_P85_2D_F80,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,85.0,2,80.0,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,>=,year round,"(daily high > county- and calendar-date-specific historical 85th percentile) AND (daily high >= 80 degF), for at least 2 consecutive days",hybrid heat-event day,hybrid relative-and-absolute heat event,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),part - relative anomaly AND an absolute daily-high gate,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
HYB_TX_P85_D3_A80_W15,hybrid,"County-specific 85th-percentile Tmax event with a 80 degF absolute gate, minimum duration three days",TMAX_P85_3D_F80,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,85.0,3,80.0,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,>=,year round,"(daily high > county- and calendar-date-specific historical 85th percentile) AND (daily high >= 80 degF), for at least 3 consecutive days",hybrid heat-event day,hybrid relative-and-absolute heat event,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),part - relative anomaly AND an absolute daily-high gate,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
HYB_TX_P85_D5_A80_W15,hybrid,"County-specific 85th-percentile Tmax event with a 80 degF absolute gate, minimum duration five days",TMAX_P85_5D_F80,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,85.0,5,80.0,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,>=,year round,"(daily high > county- and calendar-date-specific historical 85th percentile) AND (daily high >= 80 degF), for at least 5 consecutive days",hybrid heat-event day,hybrid relative-and-absolute heat event,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),part - relative anomaly AND an absolute daily-high gate,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
HYB_TX_P90_D2_A80_W15,hybrid,"County-specific 90th-percentile Tmax event with a 80 degF absolute gate, minimum duration two days",TMAX_P90_2D_F80,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,90.0,2,80.0,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,>=,year round,"(daily high > county- and calendar-date-specific historical 90th percentile) AND (daily high >= 80 degF), for at least 2 consecutive days",hybrid heat-event day,hybrid relative-and-absolute heat event,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),part - relative anomaly AND an absolute daily-high gate,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
HYB_TX_P90_D3_A80_W15,hybrid,"County-specific 90th-percentile Tmax event with a 80 degF absolute gate, minimum duration three days",TMAX_P90_3D_F80,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,90.0,3,80.0,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,>=,year round,"(daily high > county- and calendar-date-specific historical 90th percentile) AND (daily high >= 80 degF), for at least 3 consecutive days",hybrid heat-event day,hybrid relative-and-absolute heat event,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),part - relative anomaly AND an absolute daily-high gate,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
HYB_TX_P90_D5_A80_W15,hybrid,"County-specific 90th-percentile Tmax event with a 80 degF absolute gate, minimum duration five days",TMAX_P90_5D_F80,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,90.0,5,80.0,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,>=,year round,"(daily high > county- and calendar-date-specific historical 90th percentile) AND (daily high >= 80 degF), for at least 5 consecutive days",hybrid heat-event day,hybrid relative-and-absolute heat event,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),part - relative anomaly AND an absolute daily-high gate,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
HYB_TX_P80_D2_A90_W15,hybrid,"County-specific 80th-percentile Tmax event with a 90 degF absolute gate, minimum duration two days",TMAX_P80_2D_F90,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,80.0,2,90.0,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,>=,year round,"(daily high > county- and calendar-date-specific historical 80th percentile) AND (daily high >= 90 degF), for at least 2 consecutive days",hybrid heat-event day,hybrid relative-and-absolute heat event,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),part - relative anomaly AND an absolute daily-high gate,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
HYB_TX_P80_D3_A90_W15,hybrid,"County-specific 80th-percentile Tmax event with a 90 degF absolute gate, minimum duration three days",TMAX_P80_3D_F90,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,80.0,3,90.0,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,>=,year round,"(daily high > county- and calendar-date-specific historical 80th percentile) AND (daily high >= 90 degF), for at least 3 consecutive days",hybrid heat-event day,hybrid relative-and-absolute heat event,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),part - relative anomaly AND an absolute daily-high gate,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
HYB_TX_P80_D5_A90_W15,hybrid,"County-specific 80th-percentile Tmax event with a 90 degF absolute gate, minimum duration five days",TMAX_P80_5D_F90,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,80.0,5,90.0,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,>=,year round,"(daily high > county- and calendar-date-specific historical 80th percentile) AND (daily high >= 90 degF), for at least 5 consecutive days",hybrid heat-event day,hybrid relative-and-absolute heat event,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),part - relative anomaly AND an absolute daily-high gate,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
HYB_TX_P85_D2_A90_W15,hybrid,"County-specific 85th-percentile Tmax event with a 90 degF absolute gate, minimum duration two days",TMAX_P85_2D_F90,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,85.0,2,90.0,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,>=,year round,"(daily high > county- and calendar-date-specific historical 85th percentile) AND (daily high >= 90 degF), for at least 2 consecutive days",hybrid heat-event day,hybrid relative-and-absolute heat event,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),part - relative anomaly AND an absolute daily-high gate,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
HYB_TX_P85_D3_A90_W15,hybrid,"County-specific 85th-percentile Tmax event with a 90 degF absolute gate, minimum duration three days",TMAX_P85_3D_F90,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,85.0,3,90.0,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,>=,year round,"(daily high > county- and calendar-date-specific historical 85th percentile) AND (daily high >= 90 degF), for at least 3 consecutive days",hybrid heat-event day,hybrid relative-and-absolute heat event,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),part - relative anomaly AND an absolute daily-high gate,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
HYB_TX_P85_D5_A90_W15,hybrid,"County-specific 85th-percentile Tmax event with a 90 degF absolute gate, minimum duration five days",TMAX_P85_5D_F90,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,85.0,5,90.0,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,>=,year round,"(daily high > county- and calendar-date-specific historical 85th percentile) AND (daily high >= 90 degF), for at least 5 consecutive days",hybrid heat-event day,hybrid relative-and-absolute heat event,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),part - relative anomaly AND an absolute daily-high gate,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
HYB_TX_P90_D2_A90_W15,hybrid,"County-specific 90th-percentile Tmax event with a 90 degF absolute gate, minimum duration two days",TMAX_P90_2D_F90,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,90.0,2,90.0,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,>=,year round,"(daily high > county- and calendar-date-specific historical 90th percentile) AND (daily high >= 90 degF), for at least 2 consecutive days",hybrid heat-event day,hybrid relative-and-absolute heat event,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),part - relative anomaly AND an absolute daily-high gate,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
HYB_TX_P90_D3_A90_W15,hybrid,"County-specific 90th-percentile Tmax event with a 90 degF absolute gate, minimum duration three days",TMAX_P90_3D_F90,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,90.0,3,90.0,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,>=,year round,"(daily high > county- and calendar-date-specific historical 90th percentile) AND (daily high >= 90 degF), for at least 3 consecutive days",hybrid heat-event day,hybrid relative-and-absolute heat event,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),part - relative anomaly AND an absolute daily-high gate,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
HYB_TX_P90_D5_A90_W15,hybrid,"County-specific 90th-percentile Tmax event with a 90 degF absolute gate, minimum duration five days",TMAX_P90_5D_F90,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,90.0,5,90.0,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,>=,year round,"(daily high > county- and calendar-date-specific historical 90th percentile) AND (daily high >= 90 degF), for at least 5 consecutive days",hybrid heat-event day,hybrid relative-and-absolute heat event,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),part - relative anomaly AND an absolute daily-high gate,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
ABS_TX_A80_D2,absolute,Daily maximum temperature above 80 degF for at least two consecutive days,TMAX_ABS80_2D,none,daily maximum air temperature (ETCCDI TX),Daily high temperature,,2,80.0,none,not applicable: an absolute rule has no baseline and therefore no window,none,,>,year round,daily high > 80 degF for at least 2 consecutive days,absolute hot-spell day,absolute hot spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),"an absolute hot spell, not a relative anomaly","TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
ABS_TX_A80_D3,absolute,Daily maximum temperature above 80 degF for at least three consecutive days,TMAX_ABS80_3D,none,daily maximum air temperature (ETCCDI TX),Daily high temperature,,3,80.0,none,not applicable: an absolute rule has no baseline and therefore no window,none,,>,year round,daily high > 80 degF for at least 3 consecutive days,absolute hot-spell day,absolute hot spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),"an absolute hot spell, not a relative anomaly","TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
ABS_TX_A80_D5,absolute,Daily maximum temperature above 80 degF for at least five consecutive days,TMAX_ABS80_5D,none,daily maximum air temperature (ETCCDI TX),Daily high temperature,,5,80.0,none,not applicable: an absolute rule has no baseline and therefore no window,none,,>,year round,daily high > 80 degF for at least 5 consecutive days,absolute hot-spell day,absolute hot spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),"an absolute hot spell, not a relative anomaly","TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
ABS_TX_A90_D2,absolute,Daily maximum temperature above 90 degF for at least two consecutive days,TMAX_ABS90_2D,none,daily maximum air temperature (ETCCDI TX),Daily high temperature,,2,90.0,none,not applicable: an absolute rule has no baseline and therefore no window,none,,>,year round,daily high > 90 degF for at least 2 consecutive days,absolute hot-spell day,absolute hot spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),"an absolute hot spell, not a relative anomaly","TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
ABS_TX_A90_D3,absolute,Daily maximum temperature above 90 degF for at least three consecutive days,TMAX_ABS90_3D,none,daily maximum air temperature (ETCCDI TX),Daily high temperature,,3,90.0,none,not applicable: an absolute rule has no baseline and therefore no window,none,,>,year round,daily high > 90 degF for at least 3 consecutive days,absolute hot-spell day,absolute hot spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),"an absolute hot spell, not a relative anomaly","TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
ABS_TX_A90_D5,absolute,Daily maximum temperature above 90 degF for at least five consecutive days,TMAX_ABS90_5D,none,daily maximum air temperature (ETCCDI TX),Daily high temperature,,5,90.0,none,not applicable: an absolute rule has no baseline and therefore no window,none,,>,year round,daily high > 90 degF for at least 5 consecutive days,absolute hot-spell day,absolute hot spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),"an absolute hot spell, not a relative anomaly","TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
